Country,Total_Patients, Total_Deaths
World,"1,083,823","58,151"
USA,"266,558","6,803"
Italy,"119,827","14,681"
Spain,"117,710","10,935"
Germany,"90,964","1,234"
China,"81,620","3,322"
France,"64,338","6,507"
Iran,"53,183","3,294"
UK,"38,168","3,605"
Turkey,"20,921",425
Switzerland,"19,606",591
Belgium,"16,770","1,143"
Netherlands,"15,723","1,487"
Canada,"12,375",178
Austria,"11,506",168
S. Korea,"10,062",174
Portugal,"9,886",246
Brazil,"8,261",344
Israel,"7,428",40
Sweden,"6,131",358
Norway,"5,370",59
Australia,"5,350",28
Ireland,"4,273",120
Russia,"4,149",34
Czechia,"4,091",53
Denmark,"3,757",139
Chile,"3,737",22
Ecuador,"3,368",145
Malaysia,"3,333",53
Poland,"3,266",65
Romania,"3,183",133
Philippines,"3,018",136
Pakistan,"2,637",40
Japan,"2,617",63
Luxembourg,"2,612",31
India,"2,567",72
Saudi Arabia,"2,039",25
Indonesia,"1,986",181
Thailand,"1,978",19
Finland,"1,615",20
Greece,"1,613",59
Peru,"1,595",55
Mexico,"1,510",50
South Africa,"1,505",9
Dominican Republic,"1,488",68
Serbia,"1,476",39
Panama,"1,475",37
Iceland,"1,364",4
Argentina,"1,265",39
UAE,"1,264",9
Algeria,"1,171",105
Colombia,"1,161",19
Singapore,"1,114",5
Croatia,"1,079",8
Qatar,"1,075",3
Ukraine,"1,072",23
Egypt,985,66
Estonia,961,12
Slovenia,934,20
New Zealand,868,1
Hong Kong,845,4
Iraq,820,54
Morocco,761,47
Armenia,736,7
Diamond Princess,712,11
Lithuania,696,9
Bahrain,672,4
Hungary,623,26
Moldova,591,8
Bosnia and Herzegovina,579,17
Cameroon,509,8
Lebanon,508,17
Tunisia,495,18
Latvia,493,1
Bulgaria,485,14
Kazakhstan,464,6
Slovakia,450,1
Azerbaijan,443,5
Andorra,439,16
North Macedonia,430,12
Kuwait,417,
Costa Rica,416,2
Cyprus,396,11
Uruguay,369,4
Belarus,351,4
Taiwan,348,5
Réunion,321,
Jordan,310,5
Albania,304,17
Burkina Faso,302,16
Afghanistan,281,6
Cuba,269,6
Oman,252,1
San Marino,245,30
Vietnam,237,
Channel Islands,232,4
Uzbekistan,227,2
Honduras,222,15
Senegal,207,1
Ghana,205,5
